X,Y,Label,Usuario,FrameID,Session
0.0,0.0,right_wrist,user1,10,20240429152430
0.0,0.0,left_hip,user1,10,20240429152430
0.0,0.0,right_hip,user1,10,20240429152430
0.0,0.0,left_knee,user1,10,20240429152430
0.0,0.0,right_knee,user1,10,20240429152430
0.0,0.0,left_ankle,user1,10,20240429152430
0.0,0.0,right_ankle,user1,10,20240429152430
344.54,186.17108,nose,user1,11,20240429152430
368.82947,154.80327,left_eye,user1,11,20240429152430
310.84415,156.32733,right_eye,user1,11,20240429152430
402.488,173.0827,left_ear,user1,11,20240429152430
268.44614,180.54137,right_ear,user1,11,20240429152430
515.621,374.00183,left_shoulder,user1,11,20240429152430
